{0: {'object': 'couch', '0': 160, '1': 139, '2': 1150, '3': 710}}
{356: {'object': 'couch', '0': 169, '1': 148, '2': 1151, '3': 710}}
{357: {'object': 'couch', '0': 169, '1': 148, '2': 1151, '3': 710}}
{358: {'object': 'couch', '0': 169, '1': 148, '2': 1151, '3': 710}}
{359: {'object': 'couch', '0': 169, '1': 148, '2': 1151, '3': 710}}
{360: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{361: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{362: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{363: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{364: {'object': 'couch', '0': 169, '1': 148, '2': 1151, '3': 710}}
{365: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{366: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{367: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{368: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{369: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{370: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{371: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{372: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{373: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{374: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{375: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{376: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{377: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{378: {'object': 'couch', '0': 167, '1': 149, '2': 1151, '3': 710}}
{379: {'object': 'couch', '0': 167, '1': 149, '2': 1151, '3': 710}}
{380: {'object': 'couch', '0': 166, '1': 149, '2': 1151, '3': 710}}
{381: {'object': 'couch', '0': 166, '1': 149, '2': 1151, '3': 710}}
{382: {'object': 'couch', '0': 166, '1': 149, '2': 1151, '3': 710}}
{383: {'object': 'couch', '0': 166, '1': 149, '2': 1151, '3': 710}}
{384: {'object': 'couch', '0': 166, '1': 149, '2': 1151, '3': 710}}
{385: {'object': 'couch', '0': 167, '1': 149, '2': 1151, '3': 710}}
{386: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{387: {'object': 'couch', '0': 166, '1': 149, '2': 1151, '3': 710}}
{388: {'object': 'couch', '0': 166, '1': 149, '2': 1151, '3': 710}}
{389: {'object': 'couch', '0': 167, '1': 149, '2': 1151, '3': 710}}
{390: {'object': 'couch', '0': 167, '1': 149, '2': 1151, '3': 710}}
{391: {'object': 'couch', '0': 168, '1': 149, '2': 1151, '3': 710}}
{392: {'object': 'couch', '0': 159, '1': 152, '2': 1150, '3': 712}}
{393: {'object': 'couch', '0': 160, '1': 151, '2': 1150, '3': 712}}
{394: {'object': 'couch', '0': 160, '1': 150, '2': 1150, '3': 712}}
{395: {'object': 'couch', '0': 161, '1': 148, '2': 1151, '3': 712}}
{396: {'object': 'couch', '0': 168, '1': 149, '2': 1151, '3': 710}}
{397: {'object': 'couch', '0': 160, '1': 150, '2': 1150, '3': 712}}
{398: {'object': 'couch', '0': 160, '1': 151, '2': 1150, '3': 712}}
{399: {'object': 'couch', '0': 160, '1': 149, '2': 1150, '3': 712}}
{400: {'object': 'couch', '0': 160, '1': 149, '2': 1150, '3': 712}}
{401: {'object': 'couch', '0': 161, '1': 148, '2': 1151, '3': 712}}
{402: {'object': 'couch', '0': 162, '1': 148, '2': 1151, '3': 712}}
{403: {'object': 'couch', '0': 162, '1': 148, '2': 1151, '3': 712}}
{404: {'object': 'couch', '0': 160, '1': 152, '2': 1151, '3': 712}}
{405: {'object': 'couch', '0': 161, '1': 149, '2': 1151, '3': 711}}
{406: {'object': 'couch', '0': 162, '1': 151, '2': 1151, '3': 711}}
{407: {'object': 'couch', '0': 160, '1': 152, '2': 1151, '3': 711}}
{408: {'object': 'couch', '0': 158, '1': 158, '2': 1151, '3': 712}}
{409: {'object': 'couch', '0': 159, '1': 156, '2': 1151, '3': 712}}
{410: {'object': 'couch', '0': 159, '1': 154, '2': 1151, '3': 711}}
{411: {'object': 'couch', '0': 158, '1': 162, '2': 1150, '3': 711}}
{412: {'object': 'couch', '0': 162, '1': 152, '2': 1151, '3': 712}}
{413: {'object': 'couch', '0': 162, '1': 151, '2': 1151, '3': 712}}
{414: {'object': 'couch', '0': 162, '1': 151, '2': 1151, '3': 712}}
{415: {'object': 'couch', '0': 166, '1': 151, '2': 1151, '3': 711}}
{416: {'object': 'couch', '0': 161, '1': 164, '2': 1151, '3': 712}}
{417: {'object': 'couch', '0': 160, '1': 169, '2': 1150, '3': 711}}
{418: {'object': 'couch', '0': 160, '1': 175, '2': 1151, '3': 711}}
{419: {'object': 'couch', '0': 160, '1': 176, '2': 1151, '3': 712}}
{420: {'object': 'couch', '0': 161, '1': 178, '2': 1151, '3': 712}}
{421: {'object': 'couch', '0': 163, '1': 180, '2': 1151, '3': 711}}
{422: {'object': 'couch', '0': 161, '1': 183, '2': 1151, '3': 711}}
{423: {'object': 'couch', '0': 161, '1': 186, '2': 1151, '3': 711}}
{424: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{424: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{425: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{425: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{426: {'object': 'couch', '0': 158, '1': 183, '2': 1151, '3': 711}}
{427: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{427: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{428: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{428: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{429: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{429: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{430: {'object': 'couch', '0': 158, '1': 180, '2': 1151, '3': 711}}
{431: {'object': 'couch', '0': 161, '1': 178, '2': 1150, '3': 711}}
{432: {'object': 'couch', '0': 161, '1': 177, '2': 1150, '3': 711}}
{433: {'object': 'couch', '0': 161, '1': 176, '2': 1150, '3': 711}}
{434: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{434: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{435: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{435: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{436: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{436: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{437: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{437: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{438: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{438: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{439: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{439: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{440: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{440: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{441: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{441: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{442: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{442: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{443: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{443: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{444: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{444: {'object': 'couch', '0': 0, '1': 124, '2': 47, '3': 277}}
{445: {'object': 'couch', '0': 160, '1': 175, '2': 1151, '3': 712}}
{446: {'object': 'couch', '0': 159, '1': 173, '2': 1151, '3': 711}}
{447: {'object': 'couch', '0': 157, '1': 170, '2': 1151, '3': 711}}
{448: {'object': 'couch', '0': 156, '1': 168, '2': 1151, '3': 711}}
{449: {'object': 'couch', '0': 154, '1': 167, '2': 1151, '3': 711}}
{450: {'object': 'couch', '0': 155, '1': 166, '2': 1151, '3': 711}}
{451: {'object': 'couch', '0': 154, '1': 166, '2': 1152, '3': 711}}
{452: {'object': 'couch', '0': 155, '1': 165, '2': 1151, '3': 711}}
{453: {'object': 'couch', '0': 154, '1': 160, '2': 1152, '3': 711}}
{454: {'object': 'couch', '0': 154, '1': 157, '2': 1152, '3': 711}}
{455: {'object': 'couch', '0': 154, '1': 154, '2': 1152, '3': 711}}
{456: {'object': 'couch', '0': 153, '1': 151, '2': 1152, '3': 711}}
{457: {'object': 'couch', '0': 153, '1': 148, '2': 1152, '3': 711}}
{458: {'object': 'couch', '0': 154, '1': 145, '2': 1152, '3': 711}}
{459: {'object': 'couch', '0': 155, '1': 145, '2': 1151, '3': 710}}
{460: {'object': 'couch', '0': 157, '1': 147, '2': 1151, '3': 710}}
{461: {'object': 'couch', '0': 158, '1': 147, '2': 1151, '3': 710}}
{462: {'object': 'couch', '0': 158, '1': 147, '2': 1150, '3': 710}}
{463: {'object': 'couch', '0': 157, '1': 147, '2': 1151, '3': 710}}
{464: {'object': 'couch', '0': 157, '1': 146, '2': 1151, '3': 711}}
{465: {'object': 'couch', '0': 156, '1': 146, '2': 1151, '3': 711}}
{466: {'object': 'couch', '0': 158, '1': 146, '2': 1151, '3': 711}}
{467: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{468: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{469: {'object': 'couch', '0': 159, '1': 147, '2': 1151, '3': 711}}
{470: {'object': 'couch', '0': 158, '1': 147, '2': 1151, '3': 711}}
{471: {'object': 'couch', '0': 159, '1': 147, '2': 1151, '3': 711}}
{472: {'object': 'couch', '0': 159, '1': 147, '2': 1151, '3': 711}}
{473: {'object': 'couch', '0': 159, '1': 147, '2': 1151, '3': 711}}
{474: {'object': 'couch', '0': 159, '1': 147, '2': 1151, '3': 711}}
{475: {'object': 'couch', '0': 159, '1': 147, '2': 1151, '3': 711}}
{476: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{477: {'object': 'couch', '0': 159, '1': 147, '2': 1151, '3': 711}}
{478: {'object': 'couch', '0': 159, '1': 147, '2': 1151, '3': 711}}
{479: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{480: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{481: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{482: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{483: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{484: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{485: {'object': 'couch', '0': 159, '1': 147, '2': 1151, '3': 711}}
{486: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{487: {'object': 'couch', '0': 159, '1': 146, '2': 1151, '3': 711}}
{488: {'object': 'couch', '0': 159, '1': 146, '2': 1151, '3': 711}}
{489: {'object': 'couch', '0': 159, '1': 146, '2': 1151, '3': 711}}
{490: {'object': 'couch', '0': 159, '1': 147, '2': 1151, '3': 711}}
{491: {'object': 'couch', '0': 159, '1': 146, '2': 1151, '3': 711}}
{492: {'object': 'couch', '0': 159, '1': 146, '2': 1151, '3': 711}}
{493: {'object': 'couch', '0': 159, '1': 146, '2': 1151, '3': 711}}
{494: {'object': 'couch', '0': 159, '1': 146, '2': 1151, '3': 711}}
{495: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{496: {'object': 'couch', '0': 160, '1': 146, '2': 1152, '3': 711}}
{497: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{498: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{499: {'object': 'couch', '0': 159, '1': 146, '2': 1151, '3': 711}}
{500: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{501: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{502: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{503: {'object': 'couch', '0': 160, '1': 146, '2': 1152, '3': 711}}
{504: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{505: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{506: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{507: {'object': 'couch', '0': 160, '1': 146, '2': 1152, '3': 712}}
{508: {'object': 'couch', '0': 160, '1': 146, '2': 1152, '3': 712}}
{509: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{510: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{511: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{512: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{513: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{514: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{515: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{516: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{517: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{518: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{519: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{520: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{521: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{522: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{523: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{524: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{525: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{526: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{527: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{528: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{529: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{530: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{531: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{532: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{533: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{534: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{535: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{536: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{537: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{538: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{539: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{540: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{541: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{542: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{543: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{544: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{545: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{546: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{547: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{548: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{549: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{550: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{551: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{552: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{553: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{554: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{555: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{556: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 712}}
{557: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{558: {'object': 'couch', '0': 160, '1': 146, '2': 1151, '3': 711}}
{559: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{560: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{561: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{562: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{563: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{564: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{565: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{566: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{567: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{568: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{569: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{570: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{571: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{572: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{573: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{574: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{575: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{576: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{577: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{578: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{579: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{580: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
{581: {'object': 'couch', '0': 160, '1': 147, '2': 1151, '3': 711}}
